W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,W,W,W,W,W,W,S,S,W,W,W,W,W,W,H
H,W,H,S,H,S,H,S,S,H,S,H,S,H,W,H
H,W,S,S,S,S,S,S,S,S,S,S,S,S,W,H
H,W,H,S,H,S,H,S,S,H,S,H,S,H,W,H
H,W,S,S,S,S,S,S,S,S,S,S,S,S,W,H
H,S,H,S,H,S,H,S,S,H,S,H,S,H,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,S,H,S,H,S,H,S,S,H,S,H,S,H,S,H
H,W,S,S,S,S,S,S,S,S,S,S,S,S,W,H
H,W,H,S,H,S,H,S,S,H,S,H,S,H,W,H
H,W,S,S,S,S,S,S,S,S,S,S,S,S,W,H
H,W,H,S,H,S,H,S,S,H,S,H,S,H,W,H
H,W,W,W,W,W,W,S,S,W,W,W,W,W,W,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
